company_name,address_service,openfrom,openuntill,latitude,longitude,site,description
АТЦ Панин;Молодогвардейская улица, 54с2;9:00;20:00;55.736721;37.395886;https://paninservice.ru;
Автолэб;ул. Коцюбинского, 4, стр. 3;9:00;21:00;55.729143;37.430902;https://autolab.pro;Оплата картой, Самовывоз, Подарочный сертификат, Акции:скидки, акции, спецпредложения, Способ оплаты:наличными, оплата картой, банковским переводом, безналичная. Тонирование стекол, автоателье, изготовление номерных знаков
Автопилот;ул. Камчатская 5а;8:00;21:00;55.825148;37.808069;https://xn----8sbgaldwc9aoxegedf0fwd.xn--p1ai/;
Автостарт;ул. Горбунова д.12 к.2 стр.2;9:00;21:00;55.727065;37.382519;https://www.bmwin.ru/;
АвтоСпецСервис Кунцево;г. Москва, ул. Ивана Франко, д. 10;9:00;21:00;55.727896;37.448851;https://service-kunsevo.ru;
ТГК-авто;ул. Молодогвардейская ул., 58, стр. 2;10:00;21:00;55.734258;37.392544;https://tgk-auto.ru/;
Fit service;ул. Партизанская 34;9:00;21:00;55.740933;37.404887;https://fitauto.ru/about/;
ЧЕРИ ЦЕНТР КУНЦЕВО;Москва и МО, Одинцово, с. Немчиновка, Московская ул., 61;8:00;21:00;55.725934;37.374291;https://kuntsevo-chery.ru/owners/;Тест-драйв, Трейд-ин, Официальный автосервис  Оплата картой, Парковка, Wi-Fi, Антикор, Постановка на учёт, техосмотр, Предварительная запись, Развал-схождение, Кузовной ремонт, Ремонт авторефрижераторов, Лизинг, Базовое сервисное обслуживание, Дизельный автосервис, Автокредит, Мойка, Шиномонтаж
Технический центр Кунцево Volkswagen;ул. Горбунова, вл29;8:00;21:00;55.722766;37.383166;;Оплата картой, Парковка, Кафе, Wi-Fi, Антикор, Постановка на учёт, Техосмотр, Предварительная запись, Развал-схождение, Электронный ПТС, Лизинг, Базовое сервисное обслуживание, Гарантия, Дизельный автосервис, Автокредит, Шиномонтаж
Поршвиль;Молодогвардейская ул. 64, г. Москва;10:00;20:00;55.733888;37.381091;https://porscheville.ru;Способ оплаты:наличными, банковским переводом, Дополнительные услуги шиномонтажа:покраска дисков, утилизация шин
Интер-авто;Молодогвардейская ул., 61, стр. 4 (этаж 1);9:00;21:00;55.733579;37.392886;https://uzdeu-motors.ru/;Оплата картой,Парковка, Wi-Fi, Базовое сервисное обслуживание, Кузовной ремонт, Развал-схождение, Шиномонтаж, Ремонт подушек безопасности, Предварительная запись, Сварочные работы, Выездная диагностика автомобиля, Чип-тюнинг, Гарантия, Антикор, Мойка, Официальный автосервис, Выездной сервис
